id;receita_codigo;receita_descricao;receita_data_ocorrencia;receita_valor;dia;mes;ano;valor_mes;valor_ano;valor_receita_ano;valor_receita_mes;valor_consolidado_mes;valor_consolidado_ano;codigo_conta_contabil;descricao_conta_contabil;data_atualizacao;valor_jan;valor_fev;valor_mar;valor_abr;valor_mai;valor_jun;valor_jul;valor_ago;valor_set;valor_out;valor_nov;valor_dez
191815;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2012-01-01;151163.10;1;1;2012;0.00;151163.10;151163.10;0.00;0.00;151163.10;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2016-05-06T09:20:59.887939;13706.20;11963.51;11944.27;11805.40;12175.50;0.00;11344.20;11333.16;11792.87;23764.27;13340.51;17993.21
191816;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2010-01-01;47314.04;1;1;2010;0.00;47314.04;47314.04;0.00;0.00;47314.04;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2016-05-06T09:20:59.898564;4356.86;0.00;4130.94;4383.83;4399.74;4354.68;4507.92;4094.48;4179.29;4260.39;4034.94;4610.97
191817;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2013-01-01;118260.28;1;1;2013;0.00;118260.28;118260.28;0.00;0.00;118260.28;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2016-05-06T09:20:59.935064;11262.45;0.00;10960.25;20504.96;9784.36;10125.67;10422.58;10310.27;10095.21;10459.61;10228.12;4106.80
191818;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2014-01-01;129048.58;1;1;2014;0.00;129048.58;129048.58;0.00;0.00;129048.58;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2016-05-06T09:20:59.978054;21510.29;10576.86;16049.08;0.00;22274.91;11333.27;11641.28;396.31;23385.38;0.00;11881.20;0.00
191819;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2011-01-01;77977.82;1;1;2011;0.00;77977.82;77977.82;0.00;0.00;77977.82;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2016-05-06T09:20:59.992158;0.00;5988.46;12576.27;1341.49;6119.10;6238.42;3923.32;12693.63;6674.73;6968.33;6677.17;8776.90
191820;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2012-01-01;90697.83;1;1;2012;0.00;90697.83;90697.83;0.00;0.00;90697.83;741112043102040000;IRRF - ATIVO/INATIVO-LEGISLATIVO - ASPS;2016-05-06T09:21:00.002140;8223.71;7178.10;7166.56;7083.23;7305.30;0.00;6806.52;6799.90;7075.72;14258.56;8004.31;10795.92
191821;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2012-01-01;28840.58;1;1;2012;0.00;28840.58;28840.58;0.00;0.00;28840.58;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2016-05-06T09:21:00.009428;2183.45;2183.45;2212.95;2247.00;2346.78;2323.37;2296.67;2346.77;2339.36;2339.36;3521.39;2500.03
191822;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2011-01-01;27006.43;1;1;2011;0.00;27006.43;27006.43;0.00;0.00;27006.43;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2016-05-06T09:21:00.016158;1958.08;1958.08;2047.32;2012.26;1998.56;1998.56;2026.58;2053.23;2053.23;2053.23;2053.23;4794.07
191823;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2014-01-01;188363.21;1;1;2014;0.00;188363.21;188363.21;0.00;0.00;188363.21;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2016-05-06T09:21:00.023380;7116.89;5605.56;6872.11;7698.17;36528.87;9271.20;10304.87;9762.98;58579.98;12207.79;11332.64;13082.15
191824;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2013-01-01;60023.14;1;1;2013;0.00;60023.14;60023.14;0.00;0.00;60023.14;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2016-05-06T09:21:00.075118;11557.35;6112.38;3197.24;3313.45;2964.02;6375.66;5713.93;5713.93;4243.60;3643.74;3492.36;3695.48
